USER_ID,YOB,Gender,Income,HouseholdStatus,EducationLevel,Q120978,Q121011,Q120379,Q120472,Q119851,Q115611,Q113181,Q109244,Q98197
1,1938,Male,$25,001 - $50,000,Married (w/kids),Current Undergraduate,0,-1,-1,0,1,-1,-1,-1,-1,1
4,1970,Female,over $150,000,Domestic Partners (w/kids),Bachelor's Degree,1,-1,-1,1,-1,-1,0,-1,-1,1
5,1997,Male,$75,000 - $100,000,Single (no kids),High School Diploma,1,-1,-1,1,1,1,1,-1,1,1
8,1983,Male,$100,001 - $150,000,Married (w/kids),Bachelor's Degree,1,-1,-1,1,-1,-1,-1,-1,-1,1
9,1984,Female,$50,000 - $74,999,Married (w/kids),High School Diploma,1,1,-1,-1,-1,-1,-1,-1,-1,1
10,1997,Female,over $150,000,Single (no kids),Current K-12,1,-1,1,1,1,0,0,0,0,1
11,1983,Male,$25,001 - $50,000,Married (no kids),Current Undergraduate,0,0,0,0,0,-1,0,1,1,1
12,1996,Male,$75,000 - $100,000,Single (no kids),Current K-12,-1,-1,1,1,-1,1,1,-1,1,1
13,1988,Male,$100,001 - $150,000,Single (no kids),Current K-12,1,-1,1,1,-1,-1,0,-1,0,1
15,1981,Female,$50,000 - $74,999,Married (w/kids),Master's Degree,1,1,-1,-1,1,1,1,-1,1,1
16,1971,Male,over $150,000,Married (no kids),Bachelor's Degree,0,0,0,0,0,0,0,0,0,1
17,1977,Female,$100,001 - $150,000,Domestic Partners (no kids),Bachelor's Degree,1,1,1,1,-1,1,-1,-1,-1,1
18,1971,Male,$50,000 - $74,999,Married (w/kids),High School Diploma,1,-1,-1,1,-1,1,1,1,1,1
19,1996,Male,$75,000 - $100,000,Single (no kids),Current K-12,1,-1,-1,1,-1,-1,-1,-1,-1,1
20,1970,Male,$75,000 - $100,000,Married (w/kids),Bachelor's Degree,0,0,1,1,1,1,-1,-1,-1,1
21,1979,Male,over $150,000,Married (w/kids),Bachelor's Degree,-1,-1,-1,1,1,-1,1,-1,1,1
22,1997,Female,$75,000 - $100,000,Single (no kids),Current K-12,0,0,0,-1,0,0,0,1,-1,1
23,1976,Male,$50,000 - $74,999,Married (no kids),Bachelor's Degree,1,-1,1,1,1,-1,-1,1,-1,1
24,1982,Female,$25,001 - $50,000,Single (no kids),Master's Degree,1,-1,1,1,1,-1,0,1,1,1
25,1973,Male,$75,000 - $100,000,Married (w/kids),Associate's Degree,-1,-1,-1,1,-1,-1,-1,-1,-1,1
26,1993,Female,$50,000 - $74,999,Domestic Partners (no kids),High School Diploma,-1,-1,-1,1,1,-1,-1,-1,-1,1
27,1970,Male,over $150,000,Domestic Partners (w/kids),Master's Degree,-1,1,1,1,1,-1,-1,1,1,1
30,1995,Male,$75,000 - $100,000,Single (no kids),Current K-12,0,-1,1,1,-1,-1,1,-1,0,1
31,1996,Male,under $25,000,Single (no kids),Current K-12,0,0,0,0,0,0,0,0,0,1
32,1993,Male,$75,000 - $100,000,Single (no kids),Current Undergraduate,1,-1,1,-1,-1,-1,-1,-1,-1,1
33,1951,Female,$50,000 - $74,999,Married (w/kids),Master's Degree,-1,-1,1,1,1,-1,-1,1,-1,1
34,1950,Female,$100,001 - $150,000,Married (no kids),Associate's Degree,-1,-1,-1,-1,1,-1,-1,1,-1,1
35,1996,Male,over $150,000,Single (no kids),Current K-12,-1,-1,-1,-1,-1,-1,-1,1,-1,1
36,1977,Female,$25,001 - $50,000,Single (no kids),Bachelor's Degree,1,-1,-1,0,-1,-1,0,0,0,1
38,1979,Female,$75,000 - $100,000,Single (no kids),High School Diploma,1,1,-1,-1,-1,-1,-1,-1,-1,1
39,1942,Male,$100,001 - $150,000,Married (w/kids),Master's Degree,-1,0,1,1,1,-1,1,1,1,1
40,1979,Female,$25,001 - $50,000,Married (w/kids),Bachelor's Degree,-1,1,1,1,-1,-1,-1,-1,-1,1
41,1968,Male,$50,000 - $74,999,Married (no kids),High School Diploma,0,0,0,0,0,1,1,0,0,1
42,1950,Male,$25,001 - $50,000,Married (w/kids),Bachelor's Degree,-1,1,-1,1,1,-1,1,-1,1,1
43,1992,Male,$100,001 - $150,000,Single (no kids),Current Undergraduate,1,1,1,-1,-1,-1,-1,1,-1,1
45,1971,Male,$100,001 - $150,000,Married (w/kids),High School Diploma,1,-1,-1,-1,-1,1,1,-1,1,1
46,1969,Female,$100,001 - $150,000,Married (w/kids),Master's Degree,1,-1,1,1,-1,1,-1,1,-1,1
47,1997,Male,over $150,000,Married (w/kids),Current K-12,1,-1,0,1,-1,1,1,0,1,1
48,1980,Male,$25,001 - $50,000,Married (no kids),Bachelor's Degree,1,-1,-1,1,1,1,-1,-1,-1,1
49,1980,Female,$25,001 - $50,000,Single (w/kids),Associate's Degree,0,0,0,0,0,0,0,-1,0,1
50,1955,Male,$75,000 - $100,000,Married (w/kids),High School Diploma,0,0,0,0,-1,0,0,0,0,1
51,1979,Male,$100,001 - $150,000,Married (w/kids),Doctoral Degree,1,1,1,1,-1,1,-1,-1,-1,1
52,1983,Female,under $25,000,Single (no kids),Associate's Degree,0,0,0,0,0,1,0,0,0,1
53,1976,Male,$25,001 - $50,000,Single (w/kids),Bachelor's Degree,1,-1,-1,1,-1,-1,-1,-1,-1,1
54,1961,Female,$100,001 - $150,000,Married (w/kids),Associate's Degree,-1,1,-1,1,-1,-1,-1,-1,-1,1
55,1995,Male,over $150,000,Single (no kids),Current Undergraduate,-1,1,-1,1,1,-1,-1,-1,-1,1
57,1997,Male,$100,001 - $150,000,Single (no kids),Current K-12,0,1,1,0,0,1,1,-1,1,1
